Rank,Full Name,Title,Birth-Date,Death-Date,Biography,Links
0.01,Apollo,Luminary,-10000,-3000,"Apollo is the Olympian sovereign of Light, Reason, and the Arts. He represents the divine spark of human creativity and intellectual clarity. As an Eternal Node, his influence serves as the primary civilizing force at the base of the pillar.",https://en.wikipedia.org/wiki/Special:Search?search=Apollo
0.02,Isis,Luminary,-10000,-3000,"Isis is the Great Mother and sovereign of Magic and Protection. She represents the nurturing power that restores order from chaos, famously resurrecting her husband Osiris.",https://en.wikipedia.org/wiki/Special:Search?search=Isis
0.03,Prometheus,Architect,-10000,-3000,Prometheus is the Titan who defied the gods to bring the gift of Fire (Technology) to humanity. He is the primary archetype of the 'Disruptor' and human agency.,https://en.wikipedia.org/wiki/Special:Search?search=Prometheus
0.04,Enki,Architect,-10000,-3000,"Enki was the Sumerian sovereign of Water and Knowledge, credited with the formation of the first human civilizations. He was a master of divine decrees and patron of craftsmen.",https://en.wikipedia.org/wiki/Special:Search?search=Enki
0.05,Minerva,Luminary,-10000,-3000,"Minerva is the sovereign of Wisdom and Strategic Warfare. Born from the mind of Jupiter, she represents the power of rational intellect and disciplined defense.",https://en.wikipedia.org/wiki/Special:Search?search=Minerva
0.06,Mars,Luminary,-10000,-3000,Mars is the sovereign of War and the Agricultural Cycle. He represents the raw energy and martial discipline required to protect and expand the state.,https://en.wikipedia.org/wiki/Special:Search?search=Mars
0.07,Venus,Luminary,-10000,-3000,"Venus is the sovereign of Love, Beauty, and Prosperity. Her influence balances martial energy, focusing on the aesthetic and emotional harmony of the human experience.",https://en.wikipedia.org/wiki/Special:Search?search=Venus
0.08,Vulcan,Architect,-10000,-3000,Vulcan is the sovereign of the Forge and Fire. He is the archetypal craftsman who builds the tools of the gods and the infrastructure of the world.,https://en.wikipedia.org/wiki/Special:Search?search=Vulcan
0.09,Neptune,Luminary,-10000,-3000,Neptune is the sovereign of the Seas and the subterranean forces. He represents the unpredictable power of the depths and the necessity of maritime mastery.,https://en.wikipedia.org/wiki/Special:Search?search=Neptune
0.1,Ceres,Luminary,-10000,-3000,Ceres is the sovereign of Agriculture and the Law of the Land. Her influence established the first social contracts based on the shared labor of the earth.,https://en.wikipedia.org/wiki/Special:Search?search=Ceres
